Champion,Amount of Camps,Path,Time
Qiyana,5,Red-Raptors-Wolves-Gromp-Blue,3.08
Rammus,3,Red-Krugs-Raptors,2.36
Rammus,3,Red-Raptors-Krugs,2.37
Rammus,3,Red-Blue-Gromp,2.41
Rammus,4,Red-Raptors-Wolves-Blue,2.51
Rammus,5,Blue-Gromp-Wolves-Raptors-Red,3.13
Rek'Sai,3,Red-Krugs-Raptors,2.29
Rek'Sai,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.15
Rengar,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.07
Rengar,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.1
Riven,5,Blue-Gromp-Wolves-Raptors-Red,3.02
Riven,5,Red-Raptors-Wolves-Gromp-Blue-Wolves,3.09
Riven,5,Red-Krugs-Raptors-Blue-Gromp,3.14
Riven,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.27
Riven,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.27
Ryze,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.27
Sejuani,3,Red-Blue-Gromp,2.35
Shaco,3,Wolves-Blue-Gromp,2.12
Shaco,3,Raptors-Red-Krugs,2.14
Shaco,6,Raptors-Red-Krugs-Wolves-Blue-Gromp,3.12
Shaco,6,Wolves-Blue-Gromp-Raptors-Red-Krugs,3.14
Shen,4,Blue-Gromp-Wolves-Red,2.55
Shen,5,Red-Raptors-Wolves-Gromp-Blue,3.05
Shen,5,Red-Blue-Gromp-Wolves-Raptors,3.19
Shyvana,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.12
Shyvana,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.15
Sion,6,Wolves-Blue-Gromp>B>Krugs-Red-Raptors,3.07
Sion,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.17
Skarner (QEE),6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.12
Sylas,5,Red-Raptors-Gromp-Blue-Wolves,3.15
Taliyah,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.03
Talon,3,Red-Krugs-Raptors,2.3
Talon,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.12
Talon,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.13
Taric,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.17
Trundle,3,Red-Blue-Gromp,2.29
Trundle,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.19
Tryndamere,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.2
Udyr ,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.13
Urgot,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.17
Vi,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.25
Vi,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.3
Viego,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.09
Viego,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.11
Volibear,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.1
Volibear,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.11
Warwick,3,Red-Blue-Gromp,2.3
Warwick,5,Red-Raptors-Wolves-Blue-Gromp,3.04
Wukong,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.18
Wukong,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.19
Xin Zhao,3,Red-Raptors-Gromp,2.35
Xin Zhao,3,Red-Blue-Gromp,2.42
Xin Zhao,5,Blue-Gromp-Wolves-Raptors-Red,3.09
Yasuo,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.13
Yone,5,Red-Raptors-Wolves-Blue-Gromp,3.03
Zac,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.05
Zac,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.15
Zac,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.2
Zed,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,2.59
Zed,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.13
Zeri,5,Blue-Gromp-Wolves-Raptors-Red,2.54
Zeri,5,Red-Raptors-Wolves-Blue-Gromp,2.54
Zyra,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.36
